Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
46.0,0.0025,-0.004,0.1,30.0,-1.01625886549613e-42,-1.01625886549613e-42,1.0,1.52469194865013e-40,1.52469194865013e-40,3.35828068449823e-39,3.35828068449823e-39
46.0,0.0025,-0.004,0.1,40.0,-4.99572777966288e-36,-4.99572777966288e-36,1.0,4.63886201279651e-35,4.63886201279651e-35,-2.95345981865094e-33,-2.95345981865094e-33
46.0,0.0025,-0.004,0.1,50.0,2.24213303794609e-32,2.24213303794609e-32,1.0,1.52623480508817e-31,1.52623480508817e-31,1.50994456502785e-29,1.50994456502785e-29
46.0,0.0025,-0.004,0.1,60.0,4.0056220149235e-30,4.0056220149235e-30,1.0,1.55845086530992e-28,1.55845086530992e-28,3.83588815237199e-27,3.83588815237199e-27
48.0,0.0025,-0.004,0.1,10.0,-5.71719716258697e-62,-5.71719716258697e-62,1.0,3.11066577595462e-61,3.11066577595462e-61,-4.22524358687184e-58,-4.22524358687184e-58
48.0,0.0025,-0.004,0.1,20.0,-3.23990778966361e-47,-3.23990778966361e-47,1.0,2.38559357257469e-46,2.38559357257469e-46,-7.63571598010132e-44,-7.63571598010132e-44
48.0,0.0025,-0.004,0.1,30.0,-4.83784735150603e-39,-4.83784735150603e-39,1.0,3.01194442579281e-38,3.01194442579281e-38,-4.55414701728797e-36,-4.55414701728797e-36
48.0,0.0025,-0.004,0.1,40.0,1.88653777434935e-34,1.88653777434935e-34,1.0,1.78080776223425e-33,1.78080776223425e-33,1.71297446456508e-31,1.71297446456508e-31
48.0,0.0025,-0.004,0.1,50.0,-1.40091147976973e-30,-1.40091147976973e-30,1.0,1.66923603105826e-29,1.66923603105826e-29,-3.04069031321012e-28,-3.04069031321012e-28
48.0,0.0025,-0.004,0.1,60.0,5.48059005915824e-28,5.48059005915824e-28,1.0,7.56604950857364e-27,7.56604950857364e-27,2.57732001359161e-25,2.57732001359161e-25
50.0,0.0025,-0.004,0.1,10.0,-2.6991857498553e-59,-2.6991857498553e-59,1.0,1.4477289018424e-58,1.4477289018424e-58,-1.81929187117604e-55,-1.81929187117604e-55
50.0,0.0025,-0.004,0.1,20.0,-7.41112277395961e-45,-7.41112277395961e-45,1.0,5.98756027913765e-44,5.98756027913765e-44,-1.32702896383758e-41,-1.32702896383758e-41
50.0,0.0025,-0.004,0.1,30.0,-6.05929600341893e-37,-6.05929600341893e-37,1.0,4.06488495785449e-36,4.06488495785449e-36,-4.3247328146787e-34,-4.3247328146787e-34
50.0,0.0025,-0.004,0.1,40.0,2.04445242608719e-32,2.04445242608719e-32,1.0,1.49515920295748e-31,1.49515920295748e-31,1.41025881547355e-29,1.41025881547355e-29
50.0,0.0025,-0.004,0.1,50.0,-4.99669638058998e-29,-4.99669638058998e-29,1.0,9.69293890892361e-28,9.69293890892361e-28,-2.8441798603921e-27,-2.8441798603921e-27
50.0,0.0025,-0.004,0.1,60.0,-2.0341488605911e-26,-2.0341488605911e-26,1.0,4.1678821959978e-25,4.1678821959978e-25,5.81271104657753e-25,5.81271104657753e-25
52.0,0.0025,-0.004,0.1,10.0,-1.7279072193473e-56,-1.7279072193473e-56,1.0,9.35733674287692e-56,9.35733674287692e-56,-9.06534225330539e-53,-9.06534225330539e-53
52.0,0.0025,-0.004,0.1,20.0,3.50696500454619e-43,3.50696500454619e-43,1.0,4.42426514027133e-42,4.42426514027133e-42,8.0459261540786e-40,8.0459261540786e-40
52.0,0.0025,-0.004,0.1,30.0,-4.90906840561734e-36,-4.90906840561734e-36,1.0,2.42723361106781e-34,2.42723361106781e-34,1.42477089513328e-33,1.42477089513328e-33
52.0,0.0025,-0.004,0.1,40.0,-1.36051656168902e-30,-1.36051656168902e-30,1.0,1.82195772611282e-29,1.82195772611282e-29,-2.75891000815149e-28,-2.75891000815149e-28
52.0,0.0025,-0.004,0.1,50.0,4.66269213465671e-27,4.66269213465671e-27,1.0,2.42319121898296e-26,2.42319121898296e-26,1.59711926436513e-24,1.59711926436513e-24
52.0,0.0025,-0.004,0.1,60.0,-4.56000578309642e-25,-4.56000578309642e-25,1.0,1.73210148936471e-23,1.73210148936471e-23,9.42459155200173e-23,9.42459155200173e-23
54.0,0.0025,-0.004,0.1,10.0,-9.2165188282316e-55,-9.2165188282316e-55,1.0,1.65386652085628e-53,1.65386652085628e-53,-3.63318472210598e-51,-3.63318472210598e-51
54.0,0.0025,-0.004,0.1,20.0,-2.25632689781607e-41,-2.25632689781607e-41,1.0,1.32650102454965e-39,1.32650102454965e-39,2.75641146683242e-38,2.75641146683242e-38
54.0,0.0025,-0.004,0.1,30.0,5.9136731590563e-34,5.9136731590563e-34,1.0,2.48175555670251e-32,2.48175555670251e-32,8.02232217128475e-31,8.02232217128475e-31
54.0,0.0025,-0.004,0.1,40.0,-4.20071714944607e-29,-4.20071714944607e-29,1.0,1.19898117628561e-27,1.19898117628561e-27,2.15344573692753e-27,2.15344573692753e-27
54.0,0.0025,-0.004,0.1,50.0,7.12604350477135e-26,7.12604350477135e-26,1.0,1.80186132478423e-24,1.80186132478423e-24,3.65114682427208e-23,3.65114682427208e-23
54.0,0.0025,-0.004,0.1,60.0,6.31438883436281e-23,6.31438883436281e-23,1.0,3.66458785716581e-22,3.66458785716581e-22,1.25003276646139e-20,1.25003276646139e-20
56.0,0.0025,-0.004,0.1,10.0,-4.13511539449113e-52,-4.13511539449113e-52,1.0,9.37146535350882e-51,9.37146535350882e-51,-1.14075376861541e-48,-1.14075376861541e-48
56.0,0.0025,-0.004,0.1,20.0,-3.68448737513713e-38,-3.68448737513713e-38,1.0,3.22014660902641e-37,3.22014660902641e-37,-3.09922163128758e-35,-3.09922163128758e-35
56.0,0.0025,-0.004,0.1,30.0,-3.20856588552556e-31,-3.20856588552556e-31,1.0,3.14911779631009e-30,3.14911779631009e-30,-9.06971652856398e-29,-9.06971652856398e-29
56.0,0.0025,-0.004,0.1,40.0,2.18400003287943e-27,2.18400003287943e-27,1.0,5.11124659485762e-26,5.11124659485762e-26,1.28904947672239e-24,1.28904947672239e-24
56.0,0.0025,-0.004,0.1,50.0,2.88537365074791e-24,2.88537365074791e-24,1.0,7.52179261218214e-23,7.52179261218214e-23,1.13083345829577e-21,1.13083345829577e-21
56.0,0.0025,-0.004,0.1,60.0,2.90625111718044e-21,2.90625111718044e-21,1.0,1.10291742325843e-20,1.10291742325843e-20,4.19337141381386e-19,4.19337141381386e-19
58.0,0.0025,-0.004,0.1,10.0,-1.14596460799104e-48,-1.14596460799104e-48,1.0,6.61538817540582e-48,6.61538817540582e-48,-3.01376423766659e-45,-3.01376423766659e-45
58.0,0.0025,-0.004,0.1,20.0,-4.31409487523135e-36,-4.31409487523135e-36,1.0,5.44270401460329e-35,5.44270401460329e-35,-2.39747673033838e-33,-2.39747673033838e-33
58.0,0.0025,-0.004,0.1,30.0,-2.226088444266e-29,-2.226088444266e-29,1.0,2.88160471091799e-28,2.88160471091799e-28,-3.8238835451337e-27,-3.8238835451337e-27
58.0,0.0025,-0.004,0.1,40.0,-7.40059312541326e-26,-7.40059312541326e-26,1.0,3.86019519617368e-24,3.86019519617368e-24,2.7340591367388e-23,2.7340591367388e-23
58.0,0.0025,-0.004,0.1,50.0,3.03543473184185e-22,3.03543473184185e-22,1.0,2.73888276921052e-21,2.73888276921052e-21,5.87057351769141e-20,5.87057351769141e-20
58.0,0.0025,-0.004,0.1,60.0,3.93358266799343e-20,3.93358266799343e-20,1.0,4.62128399477289e-19,4.62128399477289e-19,6.31039927842646e-18,6.31039927842646e-18
60.0,0.0025,-0.004,0.1,10.0,-5.65264552628597e-46,-5.65264552628597e-46,1.0,3.48383167642644e-45,3.48383167642644e-45,-1.12955763682122e-42,-1.12955763682122e-42
60.0,0.0025,-0.004,0.1,20.0,-2.62755811455564e-34,-2.62755811455564e-34,1.0,6.11941784935743e-33,6.11941784935743e-33,-1.78892482217177e-32,-1.78892482217177e-32
60.0,0.0025,-0.004,0.1,30.0,1.4787664958968e-27,1.4787664958968e-27,1.0,1.14633539757186e-26,1.14633539757186e-26,5.64305243732906e-25,5.64305243732906e-25
60.0,0.0025,-0.004,0.1,40.0,1.25261577262852e-23,1.25261577262852e-23,1.0,1.41625165457454e-22,1.41625165457454e-22,3.13785095845129e-21,3.13785095845129e-21
60.0,0.0025,-0.004,0.1,50.0,4.36380965625684e-21,4.36380965625684e-21,1.0,1.11399633643833e-19,1.11399633643833e-19,1.1654427049453e-18,1.1654427049453e-18
60.0,0.0025,-0.004,0.1,60.0,1.91642379102409e-18,1.91642379102409e-18,1.0,1.15840570828681e-17,1.15840570828681e-17,1.91053208410396e-16,1.91053208410396e-16
62.0,0.0025,-0.004,0.1,10.0,-2.84384766934539e-44,-2.84384766934539e-44,1.0,6.82966838746829e-43,6.82966838746829e-43,-3.31697315900322e-41,-3.31697315900322e-41
62.0,0.0025,-0.004,0.1,20.0,-1.17320352928338e-31,-1.17320352928338e-31,1.0,1.30976731387259e-30,1.30976731387259e-30,-3.30338284460582e-29,-3.30338284460582e-29
62.0,0.0025,-0.004,0.1,30.0,5.44950099250511e-26,5.44950099250511e-26,1.0,1.18595128517428e-24,1.18595128517428e-24,2.48603333786461e-23,2.48603333786461e-23
62.0,0.0025,-0.004,0.1,40.0,1.09394770347143e-21,1.09394770347143e-21,1.0,5.84588658764788e-21,5.84588658764788e-21,1.73766571239594e-19,1.73766571239594e-19
