Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
100.0,0.0025,-0.004,0.1,10.0,0.78299255229255,0.781839310942622,1.0014750362814804,-0.491933793240665,-0.490931764682874,0.0794347864511042,0.0794619692685908
100.0,0.0025,-0.004,0.1,20.0,1.10072606902493,1.0982319528389,1.0022710286106526,-0.488757410544037,-0.487228216297691,0.112322182980476,0.112368975066714
100.0,0.0025,-0.004,0.1,30.0,1.34202573557037,1.33808716413909,1.0029434341325694,-0.486369663861551,-0.48440421419008,0.137519922353052,0.137609141402457
100.0,0.0025,-0.004,0.1,40.0,1.54377158323243,1.53833363068173,1.0035349630549844,-0.4843821456837,-0.482035398698662,0.158769406048049,0.158880405786268
100.0,0.0025,-0.004,0.1,50.0,1.72025013696318,1.71327399235579,1.0040718207586854,-0.482648706411391,-0.479957424008662,0.177477232181886,0.177614602403864
100.0,0.0025,-0.004,0.1,60.0,1.87879876619985,1.87024342847105,1.0045744514315946,-0.481097902872238,-0.478086004092013,0.19437242183395,0.194546103199295
102.0,0.0025,-0.004,0.1,10.0,0.165488733899983,0.165340123982769,1.000898813389238,-0.155071189361459,-0.154895054380536,0.0506325581897807,0.0505990982058334
102.0,0.0025,-0.004,0.1,20.0,0.392632491890411,0.391998042518682,1.0016185013773347,-0.23172385392017,-0.231242497763013,0.0896635001165439,0.0895801928149567
102.0,0.0025,-0.004,0.1,30.0,0.592448149868193,0.591127867948278,1.002233496323727,-0.27079648373915,-0.270013500002808,0.118358349782607,0.118236596097041
102.0,0.0025,-0.004,0.1,40.0,0.769790077853326,0.767643325662364,1.002796549021135,-0.294989895483547,-0.293917919910219,0.141874513909721,0.141725551429174
102.0,0.0025,-0.004,0.1,50.0,0.930067787657428,0.926999112210595,1.0033103326706703,-0.311606055960462,-0.310262905404815,0.162223617604141,0.162040429100189
102.0,0.0025,-0.004,0.1,60.0,1.07706115967104,1.07299542835984,1.0037891413176054,-0.324083487628117,-0.322477979957297,0.180381595044589,0.180168737800624
104.0,0.0025,-0.004,0.1,10.0,0.0182263577479825,0.0182161615561003,1.000559733281394,-0.023650598419231,-0.023634798088665,0.0136345570407989,0.0136275522606041
104.0,0.0025,-0.004,0.1,20.0,0.103087857373463,0.102967925424466,1.0011647505619115,-0.077485276407866,-0.0773752111251585,0.0464238172458614,0.0463798405371411
104.0,0.0025,-0.004,0.1,30.0,0.214842395292229,0.214475066949819,1.0017126855239353,-0.120269494929457,-0.120014673469475,0.0762739983823516,0.0761775092938138
104.0,0.0025,-0.004,0.1,40.0,0.33253739888349,0.331802874486865,1.0022137372913387,-0.152263294714857,-0.151842262337045,0.102025453407425,0.101870444181259
104.0,0.0025,-0.004,0.1,50.0,0.449429892913424,0.448226726742409,1.0026842802966243,-0.176722914738245,-0.176126708916642,0.124591459276336,0.124378196975535
104.0,0.0025,-0.004,0.1,60.0,0.563236991290139,0.561480466783704,1.0031283804341349,-0.195952048502297,-0.195178540367553,0.14475490269979,0.144482955653162
106.0,0.0025,-0.004,0.1,10.0,0.00103509751935548,0.00103472568877084,1.0003593518443343,-0.00176973092232922,-0.00176899533786597,0.00168090667449649,0.00168029416960611
106.0,0.0025,-0.004,0.1,20.0,0.0196421364315789,0.019625634465336,1.0008408373381277,-0.0181876760927736,-0.0181696323124698,0.0160623508318581,0.0160495312531305
106.0,0.0025,-0.004,0.1,30.0,0.063424518712096,0.0633412517544531,1.001314577077916,-0.0422862211493885,-0.0422197477104735,0.0375016806018227,0.0374576949099524
106.0,0.0025,-0.004,0.1,40.0,0.123702050177537,0.123484436571897,1.0017622755683329,-0.0663391284052746,-0.066197459583909,0.0598499357465995,0.0597609303695909
106.0,0.0025,-0.004,0.1,50.0,0.193288732103441,0.192865040974556,1.0021968269974904,-0.0876704942736594,-0.0874355390499677,0.0812795587820228,0.0811361847285562
106.0,0.0025,-0.004,0.1,60.0,0.267844195854571,0.267147850086327,1.0026065931955617,-0.106330972568075,-0.105990837613671,0.101369200422987,0.101166791324273
108.0,0.0025,-0.004,0.1,10.0,3.3521795914597e-05,3.35135398506301e-05,1.0002463501021883,-6.98611459538579e-05,-6.98418927050873e-05,0.000108293009365631,0.000108265829261954
108.0,0.0025,-0.004,0.1,20.0,0.00274238342474859,0.00274067634166679,1.0006228692734882,-0.00303879488413944,-0.00303661327911996,0.00385080918456335,0.00384844828126901
108.0,0.0025,-0.004,0.1,30.0,0.0152603467112553,0.0152447039297916,1.001026112513286,-0.0119611603823767,-0.0119467852034763,0.0143473071791116,0.014333434139934
108.0,0.0025,-0.004,0.1,40.0,0.039614773370856,0.0395583629595678,1.0014260046945282,-0.0244910065124156,-0.0244496523803575,0.0290349835283361,0.0289972112397983
108.0,0.0025,-0.004,0.1,50.0,0.0739380583599098,0.0738039879718873,1.0018165737612115,-0.0381442996719877,-0.0380617459498363,0.0455130140479832,0.0454407480497565
108.0,0.0025,-0.004,0.1,60.0,0.115772518825889,0.115518703486894,1.0021971796023819,-0.0516586681400806,-0.0515228445963332,0.0624787553155177,0.0623622758945382
110.0,0.0025,-0.004,0.1,10.0,7.20319440576546e-07,7.20180823674688e-07,1.0001924751358287,-1.72733505775851e-06,-1.72697417475399e-06,4.31000146086172e-06,4.30922813724427e-06
110.0,0.0025,-0.004,0.1,20.0,0.000289994823399357,0.000289857720565362,1.000473000455974,-0.000385450716767685,-0.000385243475961462,0.000670286405867807,0.000669963704995916
110.0,0.0025,-0.004,0.1,30.0,0.00303037750589076,0.0030279242572784,1.0008102080514276,-0.00268160732177614,-0.00267912910246205,0.0043717328361,0.00436827561412031
110.0,0.0025,-0.004,0.1,40.0,0.0109837067155057,0.0109709886413439,1.0011592459510779,-0.00760135356317537,-0.00759118599393238,0.0118230812973393,0.0118101638416661
110.0,0.0025,-0.004,0.1,50.0,0.0252351365888155,0.0251971017663533,1.0015094919572454,-0.0146682248827764,-0.0146422974531657,0.022114282994385,0.0220836473259727
