Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
100.0,0.0025,-0.004,0.1,10.0,0.807633729487465,0.807633729487465,1.0,0.509226978074188,0.509226978074188,0.0794619692685961,0.0794619692685961
100.0,0.0025,-0.004,0.1,15.0,0.992738005125386,0.992738005125386,1.0,0.511319130165102,0.511319130165102,0.0973184318354924,0.0973184318354924
100.0,0.0025,-0.004,0.1,20.0,1.14982232576331,1.14982232576331,1.0,0.513089294415676,0.513089294415676,0.112368975066713,0.112368975066713
100.0,0.0025,-0.004,0.1,30.0,1.4154750277763,1.4154750277763,1.0,0.516072089682857,0.516072089682857,0.137609141402456,0.137609141402456
100.0,0.0025,-0.004,0.1,40.0,1.64152052186363,1.64152052186363,1.0,0.518599723541151,0.518599723541151,0.158880405786268,0.158880405786268
100.0,0.0025,-0.004,0.1,50.0,1.84226144841295,1.84226144841295,1.0,0.52083654180931,0.52083654180931,0.177614602403863,0.177614602403863
100.0,0.0025,-0.004,0.1,60.0,2.02503298723273,2.02503298723273,1.0,0.522866830519416,0.522866830519416,0.194546103199281,0.194546103199281
102.0,0.0025,-0.004,0.1,10.0,2.19145202804173,2.19145202804173,1.0,0.845263688376513,0.845263688376513,0.0505990982058324,0.0505990982058324
102.0,0.0025,-0.004,0.1,15.0,2.32118781392234,2.32118781392234,1.0,0.799646687679033,0.799646687679033,0.0719828965869822,0.0719828965869822
102.0,0.0025,-0.004,0.1,20.0,2.44422343686982,2.44422343686982,1.0,0.76907501295034,0.76907501295034,0.0895801928149385,0.0895801928149385
102.0,0.0025,-0.004,0.1,30.0,2.66946833933138,2.66946833933138,1.0,0.730462803870125,0.730462803870125,0.118236596097038,0.118236596097038
102.0,0.0025,-0.004,0.1,40.0,2.87210046132388,2.87210046132388,1.0,0.706717202329583,0.706717202329583,0.14172555142917,0.14172555142917
102.0,0.0025,-0.004,0.1,50.0,3.05757449990366,3.05757449990366,1.0,0.690531060413146,0.690531060413146,0.162040429100183,0.162040429100183
102.0,0.0025,-0.004,0.1,60.0,3.22969065634436,3.22969065634436,1.0,0.678474854654123,0.678474854654123,0.180168737800611,0.180168737800611
104.0,0.0025,-0.004,0.1,10.0,4.04464555112913,4.04464555112913,1.0,0.976523944668365,0.976523944668365,0.0136275522605986,0.0136275522605986
104.0,0.0025,-0.004,0.1,15.0,4.09443191406849,4.09443191406849,1.0,0.948839574305065,0.948839574305065,0.02995846225447,0.02995846225447
104.0,0.0025,-0.004,0.1,20.0,4.15582834120228,4.15582834120228,1.0,0.922942299588172,0.922942299588172,0.0463798405371341,0.0463798405371341
104.0,0.0025,-0.004,0.1,30.0,4.29376814607878,4.29376814607878,1.0,0.880461630403446,0.880461630403446,0.0761775092938004,0.0761775092938004
104.0,0.0025,-0.004,0.1,40.0,4.43753025462797,4.43753025462797,1.0,0.848792859902744,0.848792859902744,0.101870444181238,0.101870444181238
104.0,0.0025,-0.004,0.1,50.0,4.5803900460714,4.5803900460714,1.0,0.824667256901306,0.824667256901306,0.124378196975517,0.124378196975517
104.0,0.0025,-0.004,0.1,60.0,4.72008136399106,4.72008136399106,1.0,0.80577429424386,0.80577429424386,0.144482955653141,0.144482955653141
