Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
48.0,0.0025,-0.004,0.1,50.0,51.9999999824599,51.9122987664746,1.0016894111428165,-1.00000000015874,-1.00079396581792,7.105427357601e-15,-7.105427357601e-15
48.0,0.0025,-0.004,0.1,60.0,51.9999999824597,51.8947578410298,1.0020279917627188,-1.00000000015874,-1.00095283461138,0.0,1.4210854715202e-14
50.0,0.0025,-0.004,0.1,10.0,49.9999999840556,49.9821427193067,1.0003572728934247,-1.00000000014173,-1.00015874275703,0.0,7.105427357601e-15
50.0,0.0025,-0.004,0.1,15.0,49.999999982143,49.9732139755269,1.0005360072824057,-1.00000000015873,-1.00023812358501,0.0,-4.9737991503207e-14
50.0,0.0025,-0.004,0.1,20.0,49.9999999821429,49.9642851627421,1.0007148069723097,-1.00000000015873,-1.00031751071333,-7.105427357601e-15,0.0
50.0,0.0025,-0.004,0.1,30.0,49.9999999821427,49.946427330008,1.00107260228606,-1.00000000015874,-1.00047630387291,-7.105427357601e-15,7.105427357601e-15
50.0,0.0025,-0.004,0.1,40.0,49.9999999821426,49.9285692208064,1.001430659088593,-1.00000000015872,-1.00063512223975,0.0,-3.5527136788005e-14
50.0,0.0025,-0.004,0.1,50.0,49.9999999821424,49.9107108348388,1.0017889776725293,-1.00000000015874,-1.00079396581791,0.0,-7.105427357601e-15
50.0,0.0025,-0.004,0.1,60.0,49.9999999821423,49.8928521718071,1.0021475583309256,-1.00000000015873,-1.00095283461138,0.0,-7.105427357601e-15
52.0,0.0025,-0.004,0.1,10.0,47.9999999837722,47.9818252337926,1.0003787840477314,-1.00000000014173,-1.00015874275705,0.0,0.0
52.0,0.0025,-0.004,0.1,15.0,47.9999999818255,47.9727377283568,1.0005682863801328,-1.00000000015873,-1.00023812358501,-7.105427357601e-15,2.1316282072803e-14
52.0,0.0025,-0.004,0.1,20.0,47.9999999818254,47.9636501413154,1.0007578622645046,-1.00000000015873,-1.00031751071332,-1.4210854715202e-14,-2.1316282072803e-14
52.0,0.0025,-0.004,0.1,30.0,47.9999999818253,47.9454747222623,1.0011372347417322,-1.00000000015873,-1.0004763038729,0.0,-2.1316282072803e-14
52.0,0.0025,-0.004,0.1,40.0,47.9999999818251,47.9272989763269,1.0015169017877286,-1.00000000015873,-1.00063512223977,0.0,-1.4210854715202e-14
52.0,0.0025,-0.004,0.1,50.0,47.9999999818249,47.909122903203,1.0018968637519312,-1.00000000015873,-1.00079396581791,0.0,-1.4210854715202e-14
52.0,0.0025,-0.004,0.1,60.0,47.9999999818248,47.8909465025844,1.0022771209843289,-1.00000000015874,-1.00095283461136,0.0,2.1316282072803e-14
54.0,0.0025,-0.004,0.1,10.0,45.9999999834887,45.9815077482785,1.000402166786514,-1.00000000014172,-1.00015874275705,7.105427357601e-15,-3.5527136788005e-14
54.0,0.0025,-0.004,0.1,15.0,45.9999999815081,45.9722614811868,1.0006033747183103,-1.00000000015872,-1.00023812358503,7.105427357601e-15,-2.8421709430404e-14
54.0,0.0025,-0.004,0.1,20.0,45.999999981508,45.9630151198887,1.0008046656974705,-1.00000000015872,-1.00031751071332,7.105427357601e-15,0.0
54.0,0.0025,-0.004,0.1,30.0,45.9999999815078,45.9445221145164,1.0012074968774975,-1.00000000015874,-1.00047630387292,7.105427357601e-15,0.0
54.0,0.0025,-0.004,0.1,40.0,45.9999999815076,45.9260287318473,1.0016106607016295,-1.00000000015873,-1.00063512223976,0.0,2.8421709430404e-14
54.0,0.0025,-0.004,0.1,50.0,45.9999999815075,45.9075349715672,1.002014157588674,-1.00000000015874,-1.00079396581791,0.0,0.0
54.0,0.0025,-0.004,0.1,60.0,45.9999999815073,45.8890408333617,1.0024179879581387,-1.00000000015874,-1.00095283461137,-7.105427357601e-15,-1.4210854715202e-14
56.0,0.0025,-0.004,0.1,10.0,43.9999999832053,43.9811902627645,1.000427676475521,-1.00000000014173,-1.00015874275705,7.105427357601e-15,7.105427357601e-15
56.0,0.0025,-0.004,0.1,15.0,43.9999999811906,43.9717852340168,1.0006416557122628,-1.00000000015873,-1.00023812358502,7.105427357601e-15,3.5527136788005e-14
56.0,0.0025,-0.004,0.1,20.0,43.9999999811905,43.9623800984621,1.0008557289811002,-1.00000000015873,-1.00031751071332,0.0,-7.105427357601e-15
56.0,0.0025,-0.004,0.1,30.0,43.9999999811903,43.9435695067706,1.0012841577289484,-1.00000000015873,-1.0004763038729,0.0,4.2632564145606e-14
56.0,0.0025,-0.004,0.1,40.0,43.9999999811902,43.9247584873678,1.0017129631764292,-1.00000000015873,-1.00063512223975,0.0,-1.4210854715202e-14
56.0,0.0025,-0.004,0.1,50.0,43.99999998119,43.9059470399313,1.0021421458276065,-1.00000000015873,-1.00079396581791,0.0,-2.1316282072803e-14
56.0,0.0025,-0.004,0.1,60.0,43.9999999811899,43.8871351641389,1.0025717061874484,-1.00000000015874,-1.00095283461137,-1.4210854715202e-14,-3.5527136788005e-14
58.0,0.0025,-0.004,0.1,10.0,41.9999999829218,41.9808727772504,1.0004556171514798,-1.00000000014173,-1.00015874275702,-7.105427357601e-15,1.4210854715202e-14
58.0,0.0025,-0.004,0.1,15.0,41.9999999808731,41.9713089868468,1.0006835858761347,-1.00000000015873,-1.00023812358501,-7.105427357601e-15,-2.8421709430404e-14
58.0,0.0025,-0.004,0.1,20.0,41.999999980873,41.9617450770354,1.0009116614136844,-1.00000000015873,-1.00031751071333,7.105427357601e-15,4.9737991503207e-14
58.0,0.0025,-0.004,0.1,30.0,41.9999999808729,41.9426168990248,1.00136813308493,-1.00000000015873,-1.00047630387291,7.105427357601e-15,2.1316282072803e-14
58.0,0.0025,-0.004,0.1,40.0,41.9999999808727,41.9234882428882,1.0018250327248825,-1.00000000015873,-1.00063512223976,7.105427357601e-15,2.8421709430404e-14
58.0,0.0025,-0.004,0.1,50.0,41.9999999808725,41.9043591082955,1.0022823609431617,-1.00000000015873,-1.0007939658179,0.0,0.0
58.0,0.0025,-0.004,0.1,60.0,41.9999999808724,41.8852294949162,1.0027401183505544,-1.00000000015874,-1.00095283461136,-7.105427357601e-15,-2.8421709430404e-14
60.0,0.0025,-0.004,0.1,10.0,39.9999999826384,39.9805552917364,1.000486353697694,-1.00000000014173,-1.00015874275704,0.0,-2.1316282072803e-14
60.0,0.0025,-0.004,0.1,15.0,39.9999999805557,39.9708327396767,1.0007297131152848,-1.00000000015873,-1.00023812358502,-7.105427357601e-15,-7.105427357601e-15
60.0,0.0025,-0.004,0.1,20.0,39.9999999805556,39.9611100556088,1.0009731943104854,-1.00000000015873,-1.00031751071333,7.105427357601e-15,2.1316282072803e-14
60.0,0.0025,-0.004,0.1,30.0,39.9999999805554,39.941664291279,1.0014605222469195,-1.00000000015873,-1.00047630387291,0.0,-2.1316282072803e-14
60.0,0.0025,-0.004,0.1,40.0,39.9999999805553,39.9222179984088,1.0019483381947767,-1.00000000015873,-1.00063512223975,-7.105427357601e-15,0.0
