strike,SRT,r-q,Delta,accuracy,outliers,Culled_grid
1.0019523174290887,0.037458689123114085,-0.019948577333333335,0.33537848824394395,100.0,0,0
1.0019523174290887,0.037458689123114085,-0.01117359778666667,0.33537848824394395,100.0,0,644
1.0019523174290887,0.037458689123114085,0.0015915813066666694,0.33537848824394395,100.0,0,2831
1.0019523174290887,0.037458689123114085,0.008631175466666668,0.33537848824394395,100.0,0,3751
1.0019523174290887,0.037458689123114085,0.015127108533333334,0.33537848824394395,100.0,0,4193
1.0019523174290887,0.037458689123114085,0.02120743466666667,0.33537848824394395,100.0,0,4416
1.0019523174290887,0.037458689123114085,0.026459674906666668,0.33537848824394395,100.0,0,4482
1.0019523174290887,0.037458689123114085,0.03100480854666667,0.33537848824394395,100.0,0,4499
1.0019523174290887,0.037458689123114085,0.03474176922666667,0.33537848824394395,100.0,0,4503
1.0019523174290887,0.037458689123114085,0.03878583236,0.33537848824394395,100.0,0,4503
1.0019523174290887,0.037458689123114085,-0.019948577333333335,0.4457936277800387,100.0,0,0
1.0019523174290887,0.037458689123114085,-0.01117359778666667,0.4457936277800387,97.2866,179,6597
1.0019523174290887,0.037458689123114085,0.0015915813066666694,0.4457936277800387,99.4702,200,37747
1.0019523174290887,0.037458689123114085,0.008631175466666668,0.4457936277800387,99.6392,215,59583
1.0019523174290887,0.037458689123114085,0.015127108533333334,0.4457936277800387,99.6739,258,79108
1.0019523174290887,0.037458689123114085,0.02120743466666667,0.4457936277800387,99.7124,278,96655
1.0019523174290887,0.037458689123114085,0.026459674906666668,0.4457936277800387,99.7378,285,108677
1.0019523174290887,0.037458689123114085,0.03100480854666667,0.4457936277800387,99.715,330,115796
1.0019523174290887,0.037458689123114085,0.03474176922666667,0.4457936277800387,99.644,425,119380
1.0019523174290887,0.037458689123114085,0.03878583236,0.4457936277800387,99.4624,651,121104
1.0019523174290887,0.037458689123114085,-0.019948577333333335,0.4704248130860643,100.0,0,0
1.0019523174290887,0.037458689123114085,-0.01117359778666667,0.4704248130860643,96.09,306,7826
1.0019523174290887,0.037458689123114085,0.0015915813066666694,0.4704248130860643,99.2055,359,45183
1.0019523174290887,0.037458689123114085,0.008631175466666668,0.4704248130860643,99.4761,375,71584
1.0019523174290887,0.037458689123114085,0.015127108533333334,0.4704248130860643,99.5458,433,95335
1.0019523174290887,0.037458689123114085,0.02120743466666667,0.4704248130860643,99.5591,515,116813
1.0019523174290887,0.037458689123114085,0.026459674906666668,0.4704248130860643,99.5251,625,131599
1.0019523174290887,0.037458689123114085,0.03100480854666667,0.4704248130860643,99.436,792,140421
1.0019523174290887,0.037458689123114085,0.03474176922666667,0.4704248130860643,99.2998,1015,144952
1.0019523174290887,0.037458689123114085,0.03878583236,0.4704248130860643,99.1,1324,147115
1.0019523174290887,0.037458689123114085,-0.019948577333333335,0.48050655527058744,100.0,0,0
1.0019523174290887,0.037458689123114085,-0.01117359778666667,0.48050655527058744,95.0933,410,8356
1.0019523174290887,0.037458689123114085,0.0015915813066666694,0.48050655527058744,98.7725,592,48230
1.0019523174290887,0.037458689123114085,0.008631175466666668,0.48050655527058744,99.13,666,76549
1.0019523174290887,0.037458689123114085,0.015127108533333334,0.48050655527058744,99.2454,770,102039
1.0019523174290887,0.037458689123114085,0.02120743466666667,0.48050655527058744,99.2651,919,125054
1.0019523174290887,0.037458689123114085,0.026459674906666668,0.48050655527058744,99.2181,1102,140946
1.0019523174290887,0.037458689123114085,0.03100480854666667,0.48050655527058744,99.1165,1329,150416
1.0019523174290887,0.037458689123114085,0.03474176922666667,0.48050655527058744,98.946,1637,155320
1.0019523174290887,0.037458689123114085,0.03878583236,0.48050655527058744,98.7307,2001,157644
1.0019523174290887,0.037458689123114085,-0.019948577333333335,0.4870374076508035,100.0,0,0
1.0019523174290887,0.037458689123114085,-0.01117359778666667,0.4870374076508035,94.4979,475,8633
